mapping_id	item_kind	donor_refs	donor_label	donor_binding_sha256	engineering_contract_refs	donor_test_contract_refs	donor_test_files	mandatory_capability_refs	decision	target_v3_family	rationale	normative_effect	closes_source_rows
MAP-FUNC-0023	FUNCTION	FUNC-0023	update_manifest_created_file_state	bec9e6d4742e21ebe01816aa80c2256e38e18c43f1cd4952da46f377029a4212		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-02,CAP-03,CAP-15	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0024	FUNCTION	FUNC-0024	record_manifest_pending_created_file	43847e403aa2f0304e2ce47d624ac39b910e2e0a6a284b5c3db571206a4b681b		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0025	FUNCTION	FUNC-0025	record_manifest_created_file	b690b04dc54a26ec6af344c2dce50de4be9137d9985528db9841869917a55e95		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0026	FUNCTION	FUNC-0026	prepare_created_file_transaction	b5170479dcb5e09f06798c67edce8cd640ae51c848fc32d51a4cc19ebbc54763	ENG-019	TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-02	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0027	FUNCTION	FUNC-0027	record_manifest_apply_report	bc8d6d1ea87acbc0e9616a7118ea4721a3cd0bd5f4e352e0fb2a2da7bc134c56		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-03	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0028	FUNCTION	FUNC-0028	record_manifest_irreversible_change	a64c3e7ae5a316e277cd5e00a4a5c081e7ab8bed06d16a594f30ae1cd12ead17		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-03	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0029	FUNCTION	FUNC-0029	record_manifest_installed_package	3caf0f23d8eb71469215ba6c6fbd4ae655e4d2ec814513df3932324ac548f625		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-03	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0030	FUNCTION	FUNC-0030	record_manifest_pending_package_transaction	21b6aa7bfbc84bab96f6467859ac6baab9058d832a9d3aa39e7d74f61ae8859b		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-02,CAP-15	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0031	FUNCTION	FUNC-0031	commit_manifest_package_transaction	c48f5dc74361eccd17e85acded380b836f866bfcbc49ddc8224c5a165735c964		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-02,CAP-12,CAP-15	ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0032	FUNCTION	FUNC-0032	record_manifest_module_restore_required	60cbfbc45201b47dac79067a6fd5e336709e52c19ef3e3666acdccd3cbc2b4c4		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017		CAP-03	ADAPT	apply-foundation/manifest-file-transaction	Adapt historical field semantics into explicit transaction-compensation/external-recovery classification; do not preserve a RESTORE-mode requirement.	NONE	0
MAP-FUNC-0033	FUNCTION	FUNC-0033	record_manifest_firewall_state	3bcb8137e22d0a21913203ee3faaf2d4d6a5b6de5b892c41e0e246fa4339c650		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			DEFER	future-firewall	Firewall state semantics относятся к отдельному policy layer; сохранить donor manifest mechanics как evidence и отложить до future firewall decision.	NONE	0
MAP-FUNC-0034	FUNCTION	FUNC-0034	restore_manifest_firewall_state	f10bdbeb1183f802c12a80c0953991557359cc7362d3dd0229f7de56dafb7a9f		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			REJECT	donor-historical/operational-recovery-excluded	Standalone donor recovery implementation is historical evidence only; user-invokable RESTORE is excluded from v3 and completed APPLY recovery is EXTERNAL_SNAPSHOT.	NONE	0
MAP-FUNC-0035	FUNCTION	FUNC-0035	record_manifest_empty_password_state	c984565cb69ab8391087e80003e752e4d27fe41f88df88a6a84e1ab27038e4fa		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0036	FUNCTION	FUNC-0036	remove_manifest_empty_password_state	a22015651406be86f17e1cd377e3ae3539a82e8f285c1996457597ced51e7c17		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			ADAPT	apply-foundation/manifest-file-transaction	Сохранить транзакционную запись pre-state/intent и fail-closed file/manifest mutation; реализацию адаптировать к v3 contracts.	NONE	0
MAP-FUNC-0037	FUNCTION	FUNC-0037	restore_manifest_empty_password_state	21a8aaf9dfa6a28e3b963b737ca4e4027c3f0c07b5e02dd4871bcc470845afdf		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			ADAPT	apply-foundation/transaction-state-readback	Reuse only as transaction-local compensation/readback inside a failed uncommitted APPLY when exact pre-state proves reversibility; no user RESTORE; completed APPLY recovery is EXTERNAL_SNAPSHOT.	NONE	0
MAP-FUNC-0038	FUNCTION	FUNC-0038	restore_manifest_module_restore_required	0d0a5c7f0e5c1ad8ab16dc6e9234fd83e6495fea853ff7d8bffe4fd5d2299c09		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			REJECT	donor-historical/operational-recovery-excluded	Standalone donor recovery implementation is historical evidence only; user-invokable RESTORE is excluded from v3 and completed APPLY recovery is EXTERNAL_SNAPSHOT.	NONE	0
MAP-FUNC-0039	FUNCTION	FUNC-0039	restore_manifest_has_backup_for	85f60ef655a5ec42cbb3e3fb762691c7215ce1808127f0c3c099b4f377719a08		TST-001,TST-002,TST-006,TST-011,TST-012,TST-013,TST-014,TST-017			ADAPT	apply-foundation/transaction-state-readback	Reuse only as transaction-local compensation/readback inside a failed uncommitted APPLY when exact pre-state proves reversibility; no user RESTORE; completed APPLY recovery is EXTERNAL_SNAPSHOT.	NONE	0
MAP-FUNC-0040	FUNCTION	FUNC-0040	restore_fstab_module_if_required	50ebcf26009d43cc5436825b76bc2bd5c43eae0446692fc5bfa94e6e498d2b66		TST-015			REJECT	donor-historical/operational-recovery-excluded	Standalone donor recovery implementation is historical evidence only; user-invokable RESTORE is excluded from v3 and completed APPLY recovery is EXTERNAL_SNAPSHOT.	NONE	0
MAP-FUNC-0041	FUNCTION	FUNC-0041	snapshot_installed_packages	3efa8c3852e698eee6e22d74826a9adc6f18d376b6f19f4429a9e63f5b9e8c8d	ENG-009	TST-008,TST-019		CAP-07	ADAPT	apply-foundation/package-transaction	Сохранить exact package pre-state/delta и transaction-local compensation для failed uncommitted APPLY; применять только в adapter family, где установка пакетов действительно разрешена.	NONE	0
MAP-FUNC-0042	FUNCTION	FUNC-0042	record_newly_installed_packages	fdd9ebc9779a55b1e6245148c58990d86088f235c785684432531a992faa6a16	ENG-010	TST-008,TST-019		CAP-07	ADAPT	apply-foundation/package-transaction	Сохранить exact package pre-state/delta и transaction-local compensation для failed uncommitted APPLY; применять только в adapter family, где установка пакетов действительно разрешена.	NONE	0
MAP-FUNC-0043	FUNCTION	FUNC-0043	install_packages_transactionally	194d3e4af17b4bd644f0421a377767d1081dc0d99b5a551bcb7d44b42b11ad32		TST-008,TST-019		CAP-07	ADAPT	apply-foundation/package-transaction	Сохранить exact package pre-state/delta и transaction-local compensation для failed uncommitted APPLY; применять только в adapter family, где установка пакетов действительно разрешена.	NONE	0
MAP-FUNC-0044	FUNCTION	FUNC-0044	collect_manifest_package_candidates	41159ea97bdbd5066ae6cb14b3eeee64e7da18eb619ff84cae48f0365b19601a		TST-008,TST-019		CAP-07	ADAPT	apply-foundation/package-transaction	Сохранить exact package pre-state/delta и transaction-local compensation для failed uncommitted APPLY; применять только в adapter family, где установка пакетов действительно разрешена.	NONE	0
MAP-FUNC-0045	FUNCTION	FUNC-0045	restore_installed_packages	5f5d3f1a657ee6a643072a7d4efb3d7042334aff3381a36ea6c19661bbfb5028	ENG-011	TST-008,TST-019		CAP-07	ADAPT	apply-foundation/package-transaction-compensation	Reuse only as transaction-local compensation/readback inside a failed uncommitted APPLY when exact pre-state proves reversibility; no user RESTORE; completed APPLY recovery is EXTERNAL_SNAPSHOT.	NONE	0
MAP-FUNC-0046	FUNCTION	FUNC-0046	report_installed_packages_for_manual_restore	3259155869916177e8b7d331a1ae509e81da0bfee736908aa7a58f77a7f3a0d1		TST-008,TST-019		CAP-16	ADAPT	apply-foundation/external-recovery-reporting	Adapt only as operator-visible external-recovery reporting; SecureLinux-Policy does not perform post-APPLY RESTORE.	NONE	0
MAP-FUNC-0047	FUNCTION	FUNC-0047	runtime_paths_scan	7f13cd4d8c0a7eb0a2dea9d22483a1d7931cd3a0a8a7364a880081f0698b77b5		TST-028			ADAPT	fstec-linux-2022/apply-file-permissions	Использовать только engineering mechanics discovery/mutation и transaction-local compensation failed uncommitted APPLY; target population и predicates обязаны следовать accepted current CHECK.	NONE	0
MAP-FUNC-0048	FUNCTION	FUNC-0048	check_runtime_paths_module	9dc8c138b6f375e4fe9cb369787418255df2fe7be20c2accc440bd971a59a17f					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0049	FUNCTION	FUNC-0049	check_sudo_command_paths_module	b26960c7c2d343451432beb013d0a2d7d8d0d8587729c62bc1451bb01eba1123					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0050	FUNCTION	FUNC-0050	apply_runtime_paths_module	63257b0b4d0359df4d15788a772b6bcb8b50dd0ee70ec43bb70453d54bd429c1		TST-027,TST-028			ADAPT	fstec-linux-2022/apply-file-permissions	Использовать только engineering mechanics discovery/mutation и transaction-local compensation failed uncommitted APPLY; target population и predicates обязаны следовать accepted current CHECK.	NONE	0
MAP-FUNC-0051	FUNCTION	FUNC-0051	record_sudo_command_check_results	0509407ade1610b240c98bd3ba0bb2bfc6bc5cf75b732db3fea07f3c2e6843f5					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0052	FUNCTION	FUNC-0052	sysctl_kernel_check_module	7945524105ffee7fc5f62f0181250969ecc4e55d9fb7502f007133093bd57e68		TST-028			REJECT	current-check-superseded	Read-only donor CHECK function is superseded by the accepted fstec-linux-2022 CHECK vertical; donor target values/predicates are not reusable APPLY mechanics.	NONE	0
MAP-FUNC-0053	FUNCTION	FUNC-0053	record_sysctl_kernel_check_results	8efa32f38e5e0460bbdb40314b14fcb7f52e3d35972a74a90c1c9e202158821d					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0054	FUNCTION	FUNC-0054	grub_kernel_params_check_module	a35a129f531149d08d99c31bb10e9000838a05fe6e2c96a757a3c0d528d8ed71		TST-028			REJECT	current-check-superseded	Read-only donor CHECK function is superseded by the accepted fstec-linux-2022 CHECK vertical; donor target values/predicates are not reusable APPLY mechanics.	NONE	0
MAP-FUNC-0055	FUNCTION	FUNC-0055	record_grub_kernel_params_check_results	3feed969c400e26a1ce007e2e5af12b9c0d1f670950260e5c9734fe5bfa7745e					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0056	FUNCTION	FUNC-0056	sysctl_attack_surface_check_module	eb29b9e8d966556339f30ba402f4800231aa3c272fac1d5f2b3dd2205ecd1bc6		TST-028			REJECT	current-check-superseded	Read-only donor CHECK function is superseded by the accepted fstec-linux-2022 CHECK vertical; donor target values/predicates are not reusable APPLY mechanics.	NONE	0
MAP-FUNC-0057	FUNCTION	FUNC-0057	record_sysctl_attack_surface_check_results	65f963e50f1ca9f90ce50cd82b2e510c0d41640b1be6a442bb9ec3de552de3af					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0058	FUNCTION	FUNC-0058	sysctl_userspace_protection_check_module	bbf81526e8381832945d8e98a8568da01ddd36f8cb68645b204874f6a8a9ce01		TST-028			REJECT	current-check-superseded	Read-only donor CHECK function is superseded by the accepted fstec-linux-2022 CHECK vertical; donor target values/predicates are not reusable APPLY mechanics.	NONE	0
MAP-FUNC-0059	FUNCTION	FUNC-0059	record_sysctl_userspace_protection_check_results	cd455bc784f15e4d96e19711411f6399d81c94c511e1cc2c94b4c976f9fc3ee1					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0060	FUNCTION	FUNC-0060	home_targets_scan	5819edfea387c7e09e482f9d77f275db572a668b7cd9e0d45bd21574714704dd		TST-028			ADAPT	fstec-linux-2022/apply-file-permissions	Использовать только engineering mechanics discovery/mutation и transaction-local compensation failed uncommitted APPLY; target population и predicates обязаны следовать accepted current CHECK.	NONE	0
MAP-FUNC-0061	FUNCTION	FUNC-0061	check_home_permissions_module	e5ecb5af99bde99d6b1942b730d48c0112dff6e40c8a5352f1ee0f44ff132750					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0062	FUNCTION	FUNC-0062	record_home_permissions_check_results	bb5fb94cfb2ed1908121592c5ee44f66424c9cfa73fa64e4876dcfd0ca9c10fe					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0063	FUNCTION	FUNC-0063	check_user_cron_permissions_module	e761fd0d7931f9bd82a8a1b81cdf9beac7f7e3237a6bf050086882e579e8330f					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0064	FUNCTION	FUNC-0064	record_user_cron_permissions_check_results	24a991876df88e27b804045f941bd752a6513c2ca23426a901f169cc7bf22c7e					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0065	FUNCTION	FUNC-0065	check_cron_command_paths_module	b306dfa9e474121ba2a5f10a16cbfb6dcbf66683116179cfe7cc21c11a1d3e1b					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0066	FUNCTION	FUNC-0066	record_cron_command_paths_check_results	903bf95ce32124510353c37e0605435964794aa9c36a696e7b7b6d8ead29a80d					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0067	FUNCTION	FUNC-0067	apply_cron_command_paths_module	736392898a0caa97db3fdba5c1f665bce55f1c0c884580f9f0c228bbfdc6541d		TST-027,TST-028			ADAPT	fstec-linux-2022/apply-file-permissions	Использовать только engineering mechanics discovery/mutation и transaction-local compensation failed uncommitted APPLY; target population и predicates обязаны следовать accepted current CHECK.	NONE	0
MAP-FUNC-0068	FUNCTION	FUNC-0068	check_standard_system_paths_module	56ea23dad0ad32480637277c38df0c1bd7da7db82c74d142277ed015af139e8a					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0069	FUNCTION	FUNC-0069	record_standard_system_paths_check_results	3ceadb19c0faa5763deeef0610f36041a8cec0ae1916cb7f845d068a1bc2492b					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0070	FUNCTION	FUNC-0070	apply_standard_system_paths_module	88d8cf2bed0f436dbe07f1c88435726a49b80b46ab9098b834121845f67f59e8		TST-027,TST-028			ADAPT	fstec-linux-2022/apply-file-permissions	Использовать только engineering mechanics discovery/mutation и transaction-local compensation failed uncommitted APPLY; target population и predicates обязаны следовать accepted current CHECK.	NONE	0
MAP-FUNC-0071	FUNCTION	FUNC-0071	check_suid_sgid_module	b3aa8ab67f28db0bc4006b4dd7b851bb89588a9cae363d3aea4fe0c7c9a5adcc					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0072	FUNCTION	FUNC-0072	record_suid_sgid_check_results	6508862eef3ebe365d0d16bd8bd4f840799206d2e7f34b30655302bd5d277385					REJECT	current-check-superseded	Donor CHECK не переносится: current v3 CHECK уже принят; source semantics берутся только из accepted v3 controls/adapters.	NONE	0
MAP-FUNC-0073	FUNCTION	FUNC-0073	apply_suid_sgid_module	84bd7a326a91ae4f830cdaffb08986b2f093432a194d17951f0fe1d33c3652b5		TST-028			ADAPT	fstec-linux-2022/apply-file-permissions	Использовать только engineering mechanics discovery/mutation и transaction-local compensation failed uncommitted APPLY; target population и predicates обязаны следовать accepted current CHECK.	NONE	0
MAP-FUNC-0074	FUNCTION	FUNC-0074	apply_user_cron_permissions_module	f9218538ae1fb1a5609617f713c6889c264c2dc0220c1fba95505879569d1ea3		TST-028			ADAPT	fstec-linux-2022/apply-file-permissions	Использовать только engineering mechanics discovery/mutation и transaction-local compensation failed uncommitted APPLY; target population и predicates обязаны следовать accepted current CHECK.	NONE	0
MAP-FUNC-0075	FUNCTION	FUNC-0075	apply_home_permissions_module	96c231f9bc45e66afdce96216322d7f45c88fd2acd490239e4cfc8bd9ad2f5cd		TST-028			ADAPT	fstec-linux-2022/apply-file-permissions	Использовать только engineering mechanics discovery/mutation и transaction-local compensation failed uncommitted APPLY; target population и predicates обязаны следовать accepted current CHECK.	NONE	0
